1,1
2,1
2,2
2,3
2,4
3,1
4,1
4,2
4,4
5,1
5,2
5,4
6,1
6,2
6,4
7,1
7,4
8,1
8,2
8,3
8,4
9,1
9,2
9,3
9,4
9,5
10,1
10,6
10,7
10,2
10,3
10,4
10,8
10,5
11,1
11,6
11,7
11,2
11,3
11,4
11,9
11,8
11,5
12,1
12,6
12,7
12,2
12,3
12,4
12,9
12,8
12,5
13,1
13,6
13,7
13,2
13,3
13,4
13,9
13,8
13,5
14,1
14,6
14,7
14,2
14,3
14,4
14,9
14,5
15,1
16,1
17,1
18,1
19,1
19,7
20,1
21,1
22,1
23,1
24,1
25,1
25,4
26,1
26,4
27,1
27,4
28,1
29,1
30,1
31,1
31,3
32,1
32,2
32,3
32,4
32,5
33,1
33,3
34,1
35,1
36,1
37,1
37,7
38,1
38,7
39,1
40,1
40,2
40,3
40,4
41,1
42,1
43,1
43,6
43,7
43,2
43,3
43,4
44,1
44,2
44,3
44,4
45,1
45,2
45,3
45,4
46,1
46,2
46,3
46,4
46,9
46,5
47,1
48,1
48,4
49,1
50,1
50,2
50,4
51,1
52,1
53,1
53,2
53,3
53,4
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
67,2
67,3
67,4
68,1
68,6
68,7
68,2
68,3
68,4
68,9
68,8
68,5
69,1
69,6
69,2
69,3
69,4
69,5
70,1
70,6
70,2
70,3
70,5
71,1
71,6
71,2
71,3
71,4
71,5
72,1
72,2
72,3
72,4
72,9
72,8
72,5
73,1
73,7
73,2
73,3
73,4
73,9
73,8
73,5
74,1
74,6
74,7
74,3
74,4
75,1
75,6
75,7
75,2
75,3
75,4
75,8
75,5
76,1
76,6
76,7
76,2
76,3
76,4
76,5
77,1
77,6
77,2
77,3
77,4
77,5
78,1
79,1
80,1
80,7
80,2
80,3
80,4
81,1
81,7
81,2
81,3
81,4
82,1
82,7
82,2
82,3
82,4
83,1
83,7
84,1
84,3
84,4
85,1
86,1
87,1
88,1
89,1
89,3
90,1
91,1
91,2
91,3
91,4
92,1
93,1
94,1
94,3
95,1
96,1
96,6
96,2
96,3
96,4
96,9
96,8
96,5
97,1
97,6
97,4
98,1
98,2
99,1
99,2
99,4
100,1
100,2
100,4
101,1
101,6
101,2
101,3
101,4
102,1
102,2
102,3
102,4
103,1
104,1
104,6
104,7
104,2
104,3
104,4
105,1
105,7
105,2
105,3
105,4
106,1
106,4
107,1
108,1
109,1
109,4
110,1
111,1
111,3
111,4
112,1
112,2
112,3
112,4
112,9
113,1
113,4
114,1
114,6
114,7
114,2
114,3
114,4
114,5
115,1
115,6
115,7
115,2
115,3
115,4
115,5
116,1
116,6
116,7
116,2
116,3
116,4
116,5
117,1
117,6
117,2
117,3
117,4
117,9
117,5
118,1
118,6
118,7
118,2
118,3
118,4
118,9
118,8
118,5
119,1
119,6
119,7
119,2
119,3
119,4
119,9
119,8
119,5
120,1
121,1
121,6
122,1
123,1
123,6
124,1
125,1
126,1
126,6
126,7
126,2
126,3
126,4
127,1
127,4
128,1
129,1
130,1
130,2
130,3
130,4
131,1
131,2
131,4
132,1
133,6
133,2
133,3
133,4
134,6
134,3
134,4
134,9
134,8
134,5
135,6
135,2
135,3
135,4
135,8
135,5
136,6
136,4
137,6
137,7
137,2
137,3
137,4
137,8
137,5
138,6
138,7
138,2
138,3
138,4
138,8
138,5
139,6
139,7
139,2
139,3
139,4
139,8
139,5
140,6
140,2
140,3
140,4
140,5
141,6
141,7
141,2
141,3
141,4
141,8
141,5
142,6
142,2
142,3
142,4
142,8
142,5
143,6
143,3
143,4
143,5
144,6
144,5
145,6
146,6
146,2
146,3
146,4
146,8
147,6
147,9
147,8
147,5
148,6
148,7
148,2
148,3
148,4
149,6
149,3
149,4
149,9
149,8
149,5
150,6
150,2
150,3
150,4
151,6
151,7
151,2
151,3
151,4
151,9
151,8
151,5
152,6
152,3
153,6
153,3
154,6
155,6
156,6
156,2
156,3
156,4
157,6
157,2
157,3
157,4
158,6
158,7
158,2
158,3
158,4
159,6
159,4
160,6
160,2
160,3
160,4
161,6
161,2
161,3
161,4
162,6
162,2
162,3
162,4
162,8
162,5
163,6
163,7
163,2
163,3
163,4
163,9
163,8
163,5
164,6
164,7
164,2
164,3
164,4
164,9
164,8
164,5
165,6
165,7
165,2
165,3
165,4
165,9
165,8
165,5
166,6
166,7
166,2
166,3
166,4
166,9
166,8
166,5
167,6
167,7
167,2
167,3
167,4
167,9
167,8
167,5
168,6
168,7
168,4
169,6
169,7
169,4
170,6
170,7
170,4
171,6
171,2
171,3
171,4
172,6
172,2
172,3
172,4
173,6
173,7
174,6
175,6
175,7
175,2
175,3
175,4
176,6
176,2
176,3
176,4
176,9
176,5
177,6
177,2
177,3
177,4
177,5
